id,peer,task,Date
0,gantedil,C2_SimpleBashUtils,2021-06-05
1,mirrorar,C2_SimpleBashUtils,2021-06-20
2,hvayon,C2_SimpleBashUtils,2021-09-06
3,merymor,C2_SimpleBashUtils,2021-09-09
4,mrtester,C2_SimpleBashUtils,2022-05-28
5,gantedil,C3_s21_string+,2022-09-17
6,mirrorar,C3_s21_string+,2022-09-17
7,hvayon,C3_s21_string+,2022-09-17
8,queuerter,C2_SimpleBashUtils,2022-09-18
9,mirrorar,C5_s21_decimal,2022-09-20
10,mirrorar,C6_s21_matrix,2022-09-28
11,mirrorar,C7_SmartCalc_v1.0,2022-10-10
12,mirrorar,C8_3DViewer_v1.0,2022-10-15
13,neeksel,C2_SimpleBashUtils,2022-10-16
14,hvayon,C5_s21_decimal,2022-10-22
15,hvayon,C6_s21_matrix,2022-10-26
16,gantedil,C5_s21_decimal,2022-10-29
17,hvayon,C7_SmartCalc_v1.0,2022-11-01
18,hvayon,C8_3DViewer_v1.0,2022-11-10
19,mirrorar,CPP1_s21_matrix+,2022-11-10
20,gantedil,D01_Linux,2022-11-17
21,gantedil,C6_s21_matrix,2023-05-01
22,gantedil,C7_SmartCalc_v1.0,2023-05-01
23,gantedil,C8_3DViewer_v1.0,2023-05-19
24,gantedil,CPP1_s21_matrix+,2023-05-20
25,hvayon,D01_Linux,2023-06-20
26,hvayon,DO2_Linux_Network,2023-06-20
27,merymor,D01_Linux,2023-06-20
28,hvayon,DO3_Linux_Monitoring,2023-06-22
29,hvayon,DO5_SimpleDocker,2023-06-23
30,hvayon,DO6_CI/CD,2023-06-27
